co,name,reg_name,code,pop,lat,lon
co,alicia,Alicia,29,,3.57,-76.4358333
co,aljibes,Aljibes,26,,6.768888900000001,-73.54472220000001
co,allemira,Allemira,20,,1.5108333,-77.0144444
co,almagra,Almagra,12,,8.9130556,-75.915
co,almagra,Almagra,27,,9.566666699999999,-75.2833333
co,almaguer,Almaguer,9,3120.0,1.9172221999999999,-76.85888890000001
co,almara,Almara,6,,5.51,-73.7858333
co,almeida,Almeida,6,754.0,4.9708333,-73.3797222
co,almendro,Almendro,21,,7.5833333,-72.83333329999999
co,almidon,Almidón,15,,3.8216667,-67.95277779999999
co,almorzadero,Almorzadero,16,,2.7588889,-75.5358333
co,almorzadero,Almorzadero,26,,5.7638889,-73.8513889
co,almorzadero,Almorzadero,29,,4.240277799999999,-76.2272222
co,almorzadero,Almorzadero,32,,5.05,-71.5166667
co,alonso lince,Alonso Lince,29,,3.6958333,-76.2619444
co,alpena,Alpena,1,,-1.0166667,-74.0666667
co,alpujarra,Alpujarra,2,,6.2333333,-75.58333329999999
co,alpujarra,Alpujarra,20,,1.6166667,-77.1544444
co,alpujarra,Alpujarra,28,,3.3930556000000003,-75.9355556
co,alpujarrita,Alpujarrita,28,,3.3616667000000002,-74.9827778
co,alsacia,Alsacia,2,,5.677777799999999,-75.8466667
co,alsacia,Alsacia,23,,4.6833333,-75.66666670000001
co,alsacia,Alsacia,28,,3.4341667,-75.1747222
co,alsacia,Alsacia,30,,-0.75,-70.2333333
co,alsacia,Alsacia,33,,4.75,-74.25
co,alsasia,Alsasia,23,,4.6833333,-75.66666670000001
co,alta,Alta,20,,1.5333333,-78.15
co,alta buena vista,Alta Buena Vista,9,,2.7338888999999997,-76.5222222
co,altaclara,Altaclara,18,,9.95,-74.0333333
co,altaflor,Altaflor,29,,4.1244444,-75.9697222
co,alta flores,Alta Flores,26,,6.637222200000001,-73.8366667
co,alta gloria,Alta Gloria,26,,7.2802777999999995,-73.30722220000001
co,altagracia,Altagracia,3,,6.3333333,-70.4666667
co,altagracia,Altagracia,6,,5.0833333,-73.2666667
co,altagracia,Altagracia,16,,3.3258332999999998,-75.325
co,altagracia,Altagracia,24,,4.7383333,-75.7136111
co,altagracia,Altagracia,32,,5.3166667,-72.2
co,altamar,Altamar,6,,5.6377778,-73.9669444
co,altamaria,Altamaria,2,,6.848611099999999,-75.6275
co,altamira,Altamira,2,,6.2194444,-75.94888890000001
co,alta mira,Alta Mira,2,,7.9166667,-74.9
co,altamira,Altamira,3,,6.366666700000001,-71.0
co,altamira,Altamira,4,,10.916666699999999,-74.95
co,altamira,Altamira,5,,10.6,-75.45
